Lambert,Yolanda,LAMYOL001,jtqcwPZ8h4pzQDWIP3k9WO,Prof.,South African permanent resident,South Africa,196-94-3082,843472000000000000,White,Fallon@rutrum.net,-1452,58517  American Samoa Blvd.,South Africa,Honours in Information Systems (full-time),University of the Witwatersrand,South Africa,2,NQF 7 - Honours Degree (HET),4,ante amet ad amet nisi dapibus felis Suspendisse enim sociis morbi accumsan massa justo risus blandit primis lacinia pede inceptos Curae Curae Mauris faucibus risus turpis aptent Nunc netus ultrices ridiculus faucibus nisi quam Cras Cras vitae interdum Fusce arcu fringilla Lorem lorem id Integer ante euismod a litora amet rhoncus eleifend magnis lorem fringilla lorem dictum velit elementum gravida porta ante Praesent mi ultrices dis Vestibulum Suspendisse Fusce mus ultrices viverra netus iaculis justo est Nullam diam Class malesuada Nulla Praesent leo interdum pulvinar facilisi ultricies aliquam ultrices pretium netus Ut nec ante ultricies hendrerit natoque erat Mauris Praesent,2,65,10,84,1958775,PhD in Information Systems,Withdrawn,Faculty Admittance Committee must decide, , 
Baird,Mallory,BAIMAL001,FxHQ8fGRZf,Ms.,South African citizen,South Africa,020-76-1289,279698000000000000,Coloured,Winter@tempor.edu,-901,13672 West Phoenix St.,Norfolk Island,Masters by Coursework and Dissertation (MSc by C+D),Politecnico di Milano,Italy,5,NQF 8 - Doctorate (HET),33,quam Morbi dapibus mus felis fringilla Quisque litora risus natoque vehicula ultricies ad Aliquam Nunc posuere elementum fames blandit condimentum magnis justo Integer pharetra odio gravida montes Aliquam Nunc Lorem vehicula et erat inceptos litora mollis felis convallis Aliquam Nam faucibus Nam primis dolor per sagittis elit porta neque felis fames molestie tristique diam magna Aliquam fames facilisi viverra id libero mus Fusce adipiscing sapien mauris augue elementum iaculis semper Suspendisse aliquam risus nibh amet odio fermentum pharetra ridiculus cubilia pulvinar gravida nostra primis pellentesque natoque In ipsum nisi diam Maecenas vestibulum lacus accumsan ad nulla vestibulum Curae rutrum aliquam,1,94,44,47,637350,Master of Commerce in Information Systems,Conditionally Admitted,Conditional Offer withdrawn as admission conditions not met, , 
Mccoy,Darryl,MCCDAR001,eUcQc,Rev.,South African permanent resident,South Africa,184-79-9853,757738000000000000,White,Lee@magnis.edu,-2285,4024  Cambodia Ct.,South Africa,Masters by Coursework and Dissertation (MSc by C+D),University of Cape Town,South Africa,4,Unknown,43,Aliquam habitant mus sit a velit aliquet eu conubia Quisque morbi sodales mus risus natoque Lorem nibh Nullam ante vehicula sollicitudin enim inceptos ante Nunc libero Curae Donec viverra magna cursus scelerisque vitae Nam sapien feugiat orci Duis placerat at feugiat accumsan posuere Cras viverra Praesent Curabitur consequat tempor sem posuere ridiculus sociosqu Nunc sodales Aliquam est euismod Nam eu euismod dis vestibulum nisl Class tempus ipsum Nullam scelerisque ac imperdiet sed Proin ut tortor turpis accumsan ultricies enim netus massa mollis Fusce amet leo varius tortor euismod habitant porta faucibus varius a egestas Ut ad cubilia elementum fames mauris,3,94,31,85,7976408,Masters in Information Technology (MIT) ,Decision Deffered,HOD / Programme Convenor must decide, , 
Weaver,Paki,WEAPAK001,URFnRZTpDP,Mrs.,South African citizen,South Africa,020-08-7766,365840000000000000,White,Kasimir@dui.org,-2274,33903 South Gambia Way,Gambia,Honours in Management Information Systems (part-time),Universität Basel,Switzerland,1,Unknown,16,lacinia dapibus urna nunc Vivamus dui Vivamus luctus taciti In Suspendisse Phasellus tempus Nulla pulvinar leo aptent tortor ultrices mi lobortis augue elementum scelerisque accumsan molestie in hendrerit porta Integer ipsum turpis nostra rhoncus Lorem pulvinar risus velit malesuada condimentum pellentesque interdum Lorem dolor quam Duis condimentum eu varius Curae convallis porttitor Curabitur Vestibulum orci dui aliquam pede luctus tortor eu faucibus interdum nisi ad felis mattis suscipit conubia molestie Proin adipiscing ultrices ridiculus consequat lectus litora nonummy accumsan mi dui suscipit Fusce in eget interdum sit sociosqu eleifend nostra mi erat eu auctor lobortis dui aptent metus natoque Lorem,1,58,88,3,1266165,Other,Decision Deffered,Waiting for UCT results, , 
Flores,Brett,FLOBRE001,DtupZNSevnqBDz,Mr.,International,Turkey,416-01-7365,425144000000000000,African,Cedric@sed.gov,-1970,46155 South Azerbaijan Blvd.,Nepal,Honours in Management Information Systems (part-time),The University of Manchester,United Kingdom,4,NGF 4 - Trade Certificate (FET),25,sociosqu tempor sapien augue tincidunt aptent Nunc erat convallis penatibus odio netus luctus taciti rhoncus pretium ornare interdum et sapien rutrum turpis aliquam in tristique libero egestas Duis ultricies dictum sit lobortis Lorem dui sodales justo elementum ante sem rhoncus eget est Mauris interdum mollis nostra amet venenatis lectus tempor enim imperdiet volutpat ultricies molestie Praesent In laoreet In habitant pede imperdiet Cras malesuada aptent aliquam dictum fames dolor non sociis velit nunc inceptos aliquam id lobortis montes fermentum fames pharetra massa lobortis venenatis Nam Vivamus litora bibendum dignissim primis Suspendisse conubia Vivamus Etiam torquent ullamcorper fames iaculis varius ipsum,3,67,9,89,6457564,PhD in Information Systems,Created,Waiting for UCT results, , 
Delgado,Carlos,DELCAR001,XS1vhUoEGocdhdd2r,Ms.,South African citizen,South Africa,313-87-9501,805557000000000000,Indian,Ella@torquent.net,-2091,37445 South Albuquerque Blvd.,Guinea-Bissau,Masters by Coursework and Dissertation (MSc by C+D),University of Birmingham,United Kingdom,4,NQF 6 - Bachelors Degree (3 Years) (HET),47,morbi posuere ad morbi sagittis ante Aliquam cursus magna sociosqu scelerisque egestas cursus molestie nec pretium risus vehicula erat eu mus Morbi porta sagittis nostra pellentesque iaculis Donec sem litora Aliquam Mauris Integer odio elementum euismod lorem pulvinar sit accumsan sodales Nulla aptent ipsum ridiculus enim ut porta pellentesque adipiscing facilisi gravida viverra tempus facilisis litora viverra fames montes nunc volutpat per non Aliquam aptent Cum volutpat tristique lacus interdum accumsan tincidunt nunc varius consequat dolor eros iaculis gravida suscipit Sed ante pulvinar luctus arcu dapibus tristique tincidunt sagittis euismod Curabitur semper feugiat sed ultricies rutrum Pellentesque diam sociosqu sociis,3,78,32,49,1181858,Masters by Dissertation (MSc by D),Firm Offer Deferred,Faculty Office withdraws application due to offer beinf made on another application in faculty, , 
Chapman,Adara,CHAADA001,IUJNQbTAsu,Dr.,South African permanent resident,South Africa,953-29-8292,320604000000000000,Coloured,Evangeline@tortor.gov,-1672,81054 West Nampa St.,South Africa,PhD in Information Systems,North-West University,South Africa,1,NQF 8 - Doctorate (HET),47,velit fringilla aptent vestibulum tristique mi mollis amet Vestibulum senectus mauris Proin rhoncus egestas amet sollicitudin volutpat Vestibulum in eu sapien In litora laoreet quam massa venenatis magnis eleifend lobortis egestas lorem adipiscing sodales sociosqu aliquet torquent aptent lorem Morbi ornare rhoncus Sed magnis Nunc nec neque Cum Nam facilisi sociis senectus nascetur vel risus Class quam dictum Nullam facilisi per diam natoque nisi adipiscing Nullam Phasellus ornare egestas Nunc malesuada elementum volutpat taciti Etiam aliquet Sed Cras ante Morbi lectus at elit eleifend tempor dignissim sed Duis mattis suscipit in orci metus nulla nascetur lobortis lobortis eleifend taciti risus,2,48,55,36,1656790,Masters by Coursework and Dissertation (MSc by C+D),Admitted,Applicant reconsider programme of study, , 
Morgan,Mufutau,A000001,XOe4CtLb4r,Prof.,South African citizen,South Africa,534-50-9535,629566000000000000,Indian,Hedley@imperdiet.gov,-1376,825 South Libyan Arab Jamahiriya Way,Tunisia,PhD in Information Systems,Beijing Normal University,China,5,Unknown,6,gravida Vivamus augue penatibus et varius inceptos mollis Duis Fusce est condimentum mollis purus fames mollis semper tortor Pellentesque in taciti augue varius habitant lacus laoreet vehicula in consectetuer ipsum Donec semper sapien Aliquam arcu Nunc primis lectus at orci felis tellus lorem ligula sapien torquent consectetuer torquent Integer justo at amet sagittis facilisis non montes luctus imperdiet consectetuer mollis erat venenatis eu viverra mus adipiscing placerat commodo inceptos ullamcorper tristique habitant penatibus tempor volutpat vulputate nulla aptent congue vulputate malesuada tortor per litora metus nisi erat pellentesque Class Curabitur rhoncus cubilia ac scelerisque mi facilisis egestas Duis elementum volutpat,2,14,3,89,6802948,Honours in Management Information Systems (part-time),Conditional Admittance Revoked,Application denied due to competition, , 
Williams,Adrian,WILADR001,lrGg,Mr.,South African permanent resident,South Africa,221-87-6939,667136000000000000,Indian,Calvin@purus.org,-2391,79326 North Rwanda St.,South Africa,Masters in Information Technology (MIT) ,Université de Fribourg,Switzerland,4,NQF 7 - Honours Degree (HET),6,netus Praesent Ut natoque dis Curae morbi imperdiet hendrerit nonummy pharetra penatibus Morbi auctor facilisi justo ligula ante sagittis mattis mattis aliquam augue Sed luctus tempus volutpat ultricies non rhoncus gravida luctus malesuada consequat ultrices commodo eget venenatis tempor pulvinar litora elementum dapibus ipsum parturient ad vehicula felis elementum diam cubilia Mauris Curae gravida posuere condimentum blandit magnis Fusce sodales eget Fusce habitant imperdiet mattis montes aliquam imperdiet volutpat Praesent Nullam quis justo ligula rutrum vehicula nostra enim aptent pede nulla hendrerit vestibulum metus Praesent leo fermentum Praesent magna eu lectus Vestibulum lacus aliquam augue mi vitae elementum pulvinar neque,3,77,20,83,8390137,PhD in Information Systems,Withdrawn,Waiting for Information, , 
Dale,Melissa,DALMEL001,UBSyEAqrleSMBrY,Mr.,South African permanent resident,South Africa,894-88-5543,779148000000000000,White,Rae@tortor.edu,-2077,21787  Calumet City Ave.,South Africa,Masters in Information Technology (MIT) ,Purdue University,United States,4,NQF 7 - Honours Degree (HET),44,turpis fermentum mus Praesent justo non penatibus netus mollis posuere arcu Vivamus accumsan Suspendisse eu ligula natoque netus volutpat per quam consectetuer convallis luctus vitae sapien sociosqu quis lectus auctor suscipit magnis eget ornare odio Praesent Phasellus Nam et rutrum quam Nam euismod Nunc nunc sollicitudin Ut risus vestibulum nulla facilisi a Vivamus Quisque turpis luctus velit eu Cras ut egestas vitae sodales aliquet venenatis In mauris Aliquam Maecenas risus massa ullamcorper velit rhoncus Suspendisse neque vitae Nam tortor felis nulla sodales Etiam eu suscipit bibendum Nulla tortor convallis Nulla lobortis Suspendisse enim dapibus consectetuer orci pede mauris interdum Vestibulum,3,31,31,73,1051459,Masters by Dissertation (MSc by D),Decision Deffered,Application denied due to inappropriate supervisor, , 
